move_id,move_num,character_id,move_category_id,move_name,move_name_kana,command,startup_frame,active_frame,hit_frame,block_frame,attribute,effect_id_1,effect_id_2,effect_id_3,effect_id_4,effect_id_5,remarks_1,remarks_2,remarks_3,remarks_4,remarks_5
00038,38,010,003,ピックアップ, ,fcrp,16,16 - 17,浮,-9,中,,,,,,,,,,
00039,39,010,003,ダブルソケット, ,fclklk,16,16 - 16,1,-12,中下,,,,,,,,,,
00040,40,010,003,デッドロック, ,crrprk,24,24 - 26,D,-9,中中,,,,,,１段目ヒット時強制しゃがみ,１段目空中ヒット時FB,,,
00041,41,010,003,クイックスライダー, ,crlk,23,23 - 32,8,-10,下,8,,,,,バックアップへ,,,,
00042,42,010,003,オプティマイザー, ,crrkwp,17,17 - 18,D,0,下上,6,,,,,,,,,
00043,43,010,003,デストロイフォーム, ,crwp,,,,, ,,,,,,デストロイフォームへ,crwporzbで立ちへ,,,
00044,44,010,003,ハープーンスイープ, ,crwk,27,27 - 28,T,-37,下,1,,,,,crwkwpでデストロイフォームへ,,,,
00045,45,010,003,バックアップ, ,bclp,,,,, ,,,,,,バックアップへ,,,,
00046,46,010,003,デイジーチェーン, ,bcrprp,18,18 - 19,5,-9,中中,,,,,,bcrprpwpでデストロイフォームへ,,,,
00047,47,010,003,ディープリンク, ,bclk,16,16 - 16,-2,-13,下,,,,,,,,,,
00048,48,010,003,ディープウェブ, ,bcrk,20,20 - 21,D,-14,下,,,,,,,,,,
00049,49,010,003,ファインドガジェット, ,balpwp,15,15 - 16,浮,-16,中 特殊中段 中,2,,,,,,,,,
00050,50,010,003,トランスハンマー, ,barplp,18,18 - 18,3,-13,中中,8,,,,,,,,,
00051,51,010,003,トランスジェネレータ, ,barplk,18,18 - 18,D,-15,中中,6,2,,,,,,,,
00052,52,010,003,トランスアクセレートキック, ,barprk,18,18 - 18,12,-7,中上,6,,,,,,,,,
00053,53,010,003,スピニングトップ, ,balk,20,20 - 22,D,-8,中,1,,,,,,,,,
00054,54,010,003,ダブルスレッディング, ,barklk,15,15 - 16,6,-11,中中,8,,,,,barklkwpでデストロイフォームへ,,,,
00055,55,010,003,ダブルオーバーライド, ,barkrk,15,15 - 16,浮,-37,中中,2,,,,,barkrklk(orbarkrkrk)でブートへ,barkrkfolk(orbarkrkfork)でデュアルブートへ,,,
00056,56,010,003,トランスミッション, ,bawp,19,19 - 20,8,-13,中,6,3,,,,or デストロイフォーム中にbawp,ガード時削りダメージあり,デストロイフォームへ,相手の攻撃を受け止めるとパワーアップかつガード時削りダメージ増加,
00057,57,010,003,ダイナミックレンジ, ,bawkwk,18,18 - 19,D,6,中中,2,7,,,,１段目ヒット時浮かせ,,,,
00058,58,010,003,オーバーロードナックル, ,bjrp,16,16 - 20,D,-9,上,,6,3,,,相手の攻撃を受け止めるとパワーアップかつガード時削りダメージ追加,,,,
00059,59,010,003,ドッキングベイ, ,bjwkwp,26,26 - 27,浮,-14,中,,,,,,or 相手に背を向けてwkwp,,,,
00060,60,010,003,ギガントハンマー, ,juwp,33,33 - 34,浮,-5,中,,,,,,or bjwp,,,,
00061,61,010,003,ブルートフォースアタック, ,fjlp,19,19 - 20,TR,-13,中,2,,,,,orbjlporjulp,fjlpヒット時lk(orrk)でブートへ,fjlpヒット時folk(orfork)でデュアルブートへ,,
00062,62,010,003,イメージカッター, ,fjrp,16,16 - 17,D,-2,上,6,5,1,,,orjurp,ガード時削りダメージあり,デストロイフォームへ(ヒートダッシュ発動時は移行しない),,
00063,63,010,003,クレイドルスター, ,fjlkヒット or ガード時rp,17,17 - 18,D,-14,中中,6,,,,,orbjlkrporjulkrp,fjlklk(orlkrk)でブートへ,fjlkfolk(orfjlkfork)でデュアルブートへ,,
00064,64,010,003,インバウンドキック, ,fjrkrk,15,15 - 16,浮,-13,中中,,,,,,orjurkrk,空中ヒット時FB,,,
00065,65,010,003,ダウンストリーム, ,fjwk,38,38 - 40,D,0,中,,,,,,orjuwk,空中ヒット時FB,,,
00066,66,010,003,ジャンパスイッチ, ,fodkrplk,16,16 - 17,D,-13,中中,6,,,,,,,,,
00067,67,010,003,カットオーバー, ,fodklkrkrk,18,18 - 19,D,-10,中上中,6,,,,,fodklkrkwporfodklkrkrkwpでデストロイフォームへ,,,,
00068,68,010,003,サンドボックス, ,fodkrk,22,22 - 29,D,-9,中,6,,,,,正面ヒット時投げへ,ヒット時lp(ジャスト)でパワーアップ,,,
00069,69,010,003,ワームアタック, ,fodkwp,17,17 - 18,4,-9,中,,,,,,,,,,
00070,70,010,003,ワームアタック・ハッキング, ,fodkwp(カウンターヒット),17,17 - 18,13,-9,中,,,,,,,,,,
00071,71,010,003,ダブルロケットパンチ, ,baahuk,63,63 - 84,D,,ガード不能,6,,,,,,,,,
00072,72,010,003,ハングアップ, ,baahij,75,75 - 76,D,,ガード不能,6,,,,,,,,,
00073,73,010,003,リニアナックル, ,fofodkrp,13,13 - 15,D,5,上,6,,,,,ガード時削りダメージあり,fofodkrpwpでデストロイフォームへ,,,
00074,74,010,003,リニアドロップキック, ,fofodklkrk,18,18 - 19,D,-7,中中,6,,,,,,,,,
00075,75,010,003,ブラスターダブルナックル, ,走り中にdkwp,18,18 - 36,D,-3,中,6,,,,,,,,,
00076,76,010,003,１０連コンボ,１０れんコンボ,bjrklplprplplpwklkrprp,,,,,中中中上上中下中中上,,,,,,デストロイフォームへ,ガード時削りダメージあり,,,
00077,77,010,004,挑発（１）,ちょうはつ（１）,nb,,,,, ,,,,,,,,,,
00078,78,010,004,挑発（２）,ちょうはつ（２）,nv,,,,, ,,,,,,,,,,
00079,79,010,004,気合溜め,きあいだめ,all,,,,, ,,,,,,allwpでデストロイフォームへ,効果持続中はガードできない/自動カウンターヒット,,,
00080,80,010,005,スピアフィッシング, ,立ち途中にlprplk,13,13 - 14,浮,-10,中上中,,,,,,立ち途中にlprpwpor 立ち途中にlprplkwpでデストロイフォームへ,,,,
00081,81,010,005,スナップショット, ,立ち途中にrp,17,17 - 18,浮,-13,中,2,,,,,立ち途中にlplk(orrprk)でブートへ,立ち途中にrpfplk(orrpfprk)でデュアルブートへ,,,
00082,82,010,005,クロックワーク, ,立ち途中にlk,19,19 - 20,15,4,中,,,,,,立ち途中にlkahでキャンセル,,,,
00083,83,010,005,クロックワーク・スプリングミドル, ,クロックワーク中にlk,13,13 - 14,12,-9,中,6,,,,,２回転以上でパワーアップ,,,,
00084,84,010,005,クロックワーク・スプリングロー, ,クロックワーク中にcrlk,30,30 - 31,TR,-12,下,,,,,,,,,,
00085,85,010,005,キースマッシュ, ,立ち途中にrk,11,11 - 12,6,-5,中,,,,,,,,,,
00086,86,010,005,ツイスト・スラッパー, ,立ち途中にwp,20,20 - 21,D,-4,中,1,,,,,ホールドでパワーアップ,,,,
00087,87,010,005,サッドハウンド, ,しゃがんだ状態でwp,21,21 - 23,5,-11,下,8,,,,,しゃがんだ状態でwpntwpでデストロイフォームへ,,,,
00088,88,010,009,ハッピープロペラ, ,横移動中にrkwp,24,24 - 25,8,-10,下上上上中,,,,,,,,,,
00089,89,010,010,グッディホップ, ,相手に背を向けてrk,16,16 - 17,D,-3,中,6,,,,,,,,,
00090,90,010,011,(共通動作)横転,おうてん,ダウン中にlp,,,,,,,,,,,orcrlp,lpxn(orcrlpxn)で起き上がらずダウンへ,,,
00091,91,010,011,(共通動作)起き上がり下段キック,おきあがりげだんキック,ダウン中にlk,22,22 - 22,7,-9,下,,,,,,or 横転中にlkor 前転中にlk,,,,
00092,92,010,011,(共通動作)起き上がり中段キック,おきあがりちゅうだんキック,ダウン中にrk,22,22 - 22,9,-9,中,,,,,,or 横転中にrkor 前転中にrk,,,,
00093,93,010,011,リブート, ,仰向けダウン中にwp,,,,, ,,,,,,,,,,
00094,94,010,011,リブートメテオキック, ,仰向けダウン中にwplk,22,22 - 23,D,-10,中,6,,,,,,,,,
00095,95,010,011,(共通動作)スプリング攻撃,スプリングこうげき,仰向けダウン中にwk,19,19 - 30,5,-22,中,,,,,,or 横転中にwk,,,,
00096,96,010,011,(共通動作)牽制キック,けんせいキック,仰向けダウン中にcrlk,13,13 - 13,-3,-18,下,,,,,,orcrrk,,,,
00097,97,010,011,(共通動作)後方起き上がり,こうほうおきあがり,ダウン中にah,,,,,,,,,,,,,,,
00098,98,010,011,(共通動作)その場起き上がり,そのばおきあがり,ダウン中にwu,,,,,,,,,,,orzb,,,,
00099,99,010,011,(共通動作)前転,ぜんてん,仰向けダウン中にdk,,,,,,,,,,,,,,,
00100,100,010,011,(共通動作)起き上がりクロスチョップ,おきあがりクロスチョップ,前転中にwp,19,19 - 24,D,2,中,6,,,,,,,,,
00101,101,010,012,デストロイフォーム, ,crwp,,,,, ,,,,,,デストロイフォームへ,crwporzbで立ちへ,,,
00102,102,010,012,シュレッドチッパー, ,デストロイフォーム中にlp,14,14 - 18,D,-9,中,,,,,,デストロイフォームへ,ガード時削りダメージあり,,,
00103,103,010,012,シュレッドアッパー, ,デストロイフォーム中にrp,20,20 - 21,浮,-8,中,,,,,,デストロイフォームへ,ガード時削りダメージあり,,,
00104,104,010,012,シュレッドアッパーロケットパンチ, ,デストロイフォーム中にrpヒット時lp,20,20 - 21,TR,-8,中 ガード不能,2,,,,,,,,,
00105,105,010,012,デスマリオネット, ,デストロイフォーム中にwp,16,16 - 18,15,4,上,1,6,,,,デストロイフォームへ,ガード時削りダメージあり,,,
00106,106,010,012,ヘルツブレード, ,デストロイフォーム中にfolp,11,11 - 13,9,3,上,,,,,,デストロイフォームへ,ガード時削りダメージあり,,,
00107,107,010,012,ギガヘルツストーム, ,デストロイフォーム中にforplprp,15,15 - 15,D,-13,中中中,6,5,,,,ガード時削りダメージあり,1段目、2段目ヒット時強制しゃがみ,,,
00108,108,010,012,ヘルツブレード・ディアボロ, ,デストロイフォーム中にfowpwp,23,23 - 27,浮,-53,中中,,,,,,デストロイフォームへ,ガード時削りダメージあり,デストロイフォーム中にfowplk(orfowprk)でデュアルブートへ移行,,
00109,109,010,012,ヘルツブレード・スカッド, ,デストロイフォーム中にcrlp,21,21 - 24,4,-13,下,,,,,,デストロイフォームへ,ガード時削りダメージあり,,,
00110,110,010,012,クロックブースティング, ,デストロイフォーム中にcrrp,22,22 - 23,0,-14,下,1,8,,,,ガード時削りダメージあり,,デストロイフォーム中にcrrplk(orcrrprk)でデュアルブートへ移行,,
00111,111,010,012,ヘルツブレード・トマホーク, ,デストロイフォーム中にbarplp,18,18 - 20,D,-3,中 特殊下段,7,,,,,デストロイフォームへ,ガード時削りダメージあり,,,
00112,112,010,012,ヘルツブレード・イージス, ,デストロイフォーム中にfjrp,10,10 - 14,D,,上,,,,,,デストロイフォームへ,空中の相手にのみヒットする,,,
00113,113,010,012,スピンドルスラッシング, ,デストロイフォーム中にfjwp,29,29 - 31,崩,-9,中,,,,,,デストロイフォームへ,ガード時削りダメージあり,デストロイフォーム中にfjwpwpで立ち状態へ,空中ヒット時FB,
00114,114,010,012,ヘルツブレード・フレア, ,デストロイフォーム中に相手に背を向けてlp(orrp),19,19 - 22,崩,-9,中,,,,,,ガード時削りダメージあり,,,,
00115,115,010,012,アイドリング, ,デストロイフォーム中にlk,,,,, ,,,,,,or デストロイフォーム中にrk,デストロイフォームへ,,,
00116,116,010,012,デュアルブート, ,デストロイフォーム中にfolk,,,,, ,,,,,,or デストロイフォーム中にfork,ahでキャンセル,ju(orcr)でイベイシブアクションヘ,,
00117,117,010,012,レトロロケット, ,デストロイフォーム中にbalk,,,,, ,,,,,,or デストロイフォーム中にbarkor デストロイフォーム中にbjba,デストロイフォームへ,,,
00118,118,010,012,前移動,まえいどう,デストロイフォーム中にfofo,,,,, ,,,,,,デストロイフォームへ,,,,
00119,119,010,012,後ろ移動,うしろいどう,デストロイフォーム中にbaba,,,,, ,,,,,,デストロイフォームへ,,,,
00120,120,010,012,イベイシブアクション, ,デストロイフォーム中にcrlk,,,,, ,,,,,,or デストロイフォーム中にcrrkorjulkorjurk,デストロイフォームへ,,,
00121,121,010,012,イベイシブスラッシュ, ,デストロイフォーム中にcrlklp,20,20 - 21,14,-13,中,6,8,,,,or デストロイフォーム中にcrrklporjulklporrklp,デストロイフォームへ,ガード時削りダメージあり,,
00122,122,010,012,デュアルブート,,イベイシブアクション中にlk(orrk),,,,,,,,,,,デュアルブートへ,,,,
00123,123,010,013,ブート, ,fowkなど,,,,, ,,,,,,ブートへ,,,,
00124,124,010,013,アボート, ,ブート中にxn(orah),,,,, ,,,,,,バックアップへ,,,,
00125,125,010,013,ブートラッシュ, ,ブート中にlprplpwk,13,13 - 14,D,-18,中中中中,6,,,,,ブート中にlprplpwkwpでデストロイフォームへ,,,,
00126,126,010,013,リニアエルボー, ,ブート中にrp,16,16 - 27,D,-8,中,6,,,,,ブート中にlpwpでデストロイフォームへ,,,,
00127,127,010,013,イジェクトスライダー, ,ブート中にlk,16, 16 - 20,4,-14,下,8,,,,,,,,,
00128,128,010,013,アップストリーム, ,ブート中にrk,17,17 - 19,浮,-27,中,,,,,,,,,,
00129,129,010,013,インシュレーター, ,ブート中にwp,27,27 - 28,8,,ガード不能,6,,,,,デストロイフォームへ,,,,
00130,130,010,014,デュアルブート, ,デストロイフォーム中にfolkなど,,,,, ,,,,,,ahでキャンセル,wu(orxn)でイベイシブアクションヘ,,,
00131,131,010,014,ブラスターレフト, ,デュアルブート中にlp,24,24 - 26,11,9,上,,,,,,デストロイフォームへ,ガード時削りダメージあり,,,
00132,132,010,014,ブラスターライト・バースト, ,デュアルブート中にrplp,16,16 - 18,D,-11,中上,7,,,,,デストロイフォームへ,ガード時削りダメージあり,２段目ガードで強制しゃがみ,,
00133,133,010,014,イジェクトスライダー, ,デュアルブート中にlk,16,16 - 20,4,-14,下,8,,,,,,,,,
00134,134,010,014,アップストリーム, ,デュアルブート中にrk,17,17 - 19,浮,-27,中,,,,,,,,,,
00135,135,010,014,ブラスタードリル, ,デュアルブート中にwp,12,12 - 15,D,0,中,6,,,,,デストロイフォームへ,ガード時削りダメージあり,,,
00136,136,010,014,ハートビートディセーブラ, ,デュアルブート中にfolp,19,19 - 21,D,-9,中,,,,,,ガード時削りダメージあり,正面ヒット時投げへ,,,
00137,137,010,014,シャットダウン, ,デュアルブート中にforprp,19,19 - 20,D,-33,下中,6,,,,,ガード時削りダメージあり,１発目の後にデストロイフォームへ移行,,,
00138,138,010,014,ハローワールド,,デュアルブート中にfowp,17,17 - 18,D,4,中×5,,,,,,デストロイフォームへ,ガード時削りダメージあり,,,
00139,139,010,015,バックアップ, ,bclpなど,,,,, ,,,,,,バックアップへ,,,,
00140,140,010,015,リカバリーフック, ,バックアップ中にlp,11,11 - 13,D,4,上,6,,,,,ガード時削りダメージあり,バックアップ中にlplk(orlprk)でブートに移行,バックアップ中にlpfolk(orlpfork)でデュアルブートに移行,,
00141,141,010,015,ラピッドロケットパンチ, ,バックアップ中にrp,11,11 - 33,D,-9,上,2,,,,,ガード時削りダメージあり,,,,
00142,142,010,015,メテオキック, ,バックアップ中にlk,24,24 - 27,D,-9,中,6,,,,,,,,,
00143,143,010,015,アップリンク・ニー, ,バックアップ中にrk,19,18 - 23,浮,-9,中,2,,,,,,,,,
00144,144,010,015,ロケットパンチ, ,バックアップ中にwp,34,34 - 71,浮,,ガード不能,,,,,,,,,,
00145,145,010,006,トリガーシャッフル, ,相手に接近してwl,12,12 - 14,D,-7,投げ(上),1,,,,,投げ抜けlp(orrp),,,,
00146,146,010,006,バックドア, ,相手に接近してwr,12,12 - 14,D,-5,投げ(上),1,7,,,,投げ抜けlp(orrp),wrwpでデストロイフォームへ,,,
00147,147,010,006,コンプレッション, ,相手に左側面から接近してwl(orwr),12,12 - 14,D,-3,投げ(上),,,,,,投げ抜けlp,,,,
00148,148,010,006,ハットトリック, ,相手に右側面から接近してwl(orwr),12,12 - 14,D,-3,投げ(上),7,,,,,投げ抜けrp,,,,
00149,149,010,006,ランダムタイピング, ,相手に背後から接近してwl(orwr),12,12 - 14,D,,投げ(上),7,,,,,投げ抜け不能,,,,
00150,150,010,006,スパムボム, ,相手に接近してfjwp,12,12 - 13,D,-4,投げ(上),,,,,,投げ抜けwp,,,,
00151,151,010,006,ダブルブル・シューティング, ,しゃがんだ状態でbcwp,11,11 - 11,D,-4,投げ(上),,,,,,投げ抜けwp,,,,
00152,152,010,007,モデルチェンジ, ,相手の上段攻撃に合わせてbawl(orbawr),20,20 - 21,D,,ガード不能,6,,,,,強い返し技効果あり,,,,
00153,153,010,007,下段捌き,げだんさばき,相手の下段攻撃に合わせてcm,, ,TR,, ,2,,,,,,,,,
00154,154,010,008,グランドロケットパンチ, ,(相手ダウン中に)bcwp,26,26 - 27,D,-13,下,,,,,,空中ヒット時FB,,,,
00155,1,020,152,ヒート中にできること１（共通）, ,すべての攻撃に「ガードさせると削りダメージを与える」効果がつく,,,,, ,,,,,,削りダメージではK.O.できない,削りダメージは回復可能ゲージになる,,,
00156,2,020,152,ヒート中にできること２（共通）, ,コンボや攻めの起点となる「ヒートダッシュ」を発動可能(発動後ヒート終了),,,,, ,,,,,,ヒート発動技が相手に触れるまでdk(orLB)を入力,ガード時削りダメージを上乗せ,,,
00157,3,020,152,ヒート中にできること３（共通）, ,ダメージの高い大技「ヒートスマッシュ」を発動可能(発動後ヒート終了),,,,, ,,,,,,ヒート状態でLB(orij),,,,
00158,4,020,152,ヒート中にできること４（固有）, ,浪花の気焔保有時の技が使用可能,,,,, ,,,,,,浪花の気焔保有時にjuwp、fodkwp、fofodkwpなど,,,,
00159,5,020,001,ヒートバースト, ,ヒート発動可能状態でij,16,16 - 16,2,1,中,8,3,,,,ヒート状態の残り時間を消費する,ijbabaで攻撃をキャンセル,,,
00160,6,020,001,雲雀槌,うんじゃくつい,crrp,18,18 - 18,9,-4,中,5,,,,,ヒート発動時浪花の気焔を獲得,空中ヒット時FB,,,
00161,7,020,001,巡り飛燕,めぐりひえん,bclprp,14,14 - 14,D,-9,中上,6,5,,,,ヒート発動時浪花の気焔を獲得,,,,
00162,8,020,001,日矛鏡,ひぼこのかがみ,fodkrplp,15,15 - 16,D,-5,中上,6,5,,,,fodkrpxnで直接しゃがみへ,ヒート発動時浪花の気焔を獲得,,,
00163,9,020,001,霞掌打,かすみしょうだ,横移動(juntorcrnt)中にrp,13,13 - 14,D,-13,中,6,5,,,,ヒート発動時浪花の気焔を獲得,,,,
00164,10,020,001,行住喝破,ぎょうじゅうかっぱ,相手に接近してfowlヒット時rp,19,19 - 19,D,-3,上中,6,5,,,,or 相手に接近してfowrヒット時rp,ガード時削りダメージあり,ヒート発動時浪花の気焔を獲得,,
00165,11,020,001,瑞雲三相蹴り,ずいうんさんそうげり,ヒート状態でij,16,16 - 16,D,10,中中中,7,,,,,ヒートスマッシュ,ヒット時投げへ,,,
00166,12,020,002,ナニワ仲裁屋ナックル,ナニワちゅうさいやナックル,レイジ状態でfcwp,20,20 - 20,D,-18,中,3,4,,,,レイジアーツ,ヒット時相手の回復可能ゲージを消す,ホールド可,,
00167,13,020,003,翠連勁,すいれんけい,lplp,10,10 - 10,4,-7,上中,,,,,,folpからの攻撃に繋がる,,,,
00168,14,020,003,槍連鬼首,そうれんおにくび,lprplk,10,10 - 10,D,-2,上中中,6,,,,,lprplkahでキャンセル,ガード時削りダメージあり,最終段ホールドでパワーアップ,,
00169,15,020,003,槍連衝腿,そうれんしょうたい,lprprk,10,10 - 10,D,-12,上中中,,,,,,,,,,
00170,16,020,003,翠連下蹴り,すいれんしたげり,lplk,10,10 - 10,0,-11,上下,,,,,,,,,,
00171,17,020,003,芭蕉皆伐,ばしょうかいばつ,rplprp,12,12 - 12,D,-10,上上中,6,2,,,,,,,,
00172,18,020,003,芭蕉颪,ばしょうおろし,rplpcrwp,12,12 - 12,3,-9,上上中,8,,,,,rplpcrwpahでキャンセル,rplpcrwpxnで直接しゃがみへ,空中ヒット時FB,,
00173,19,020,003,水芭蕉,みずばしょう,rplk,12,12 - 12,D,-17,上中,6,8,,,,,,,,
00174,20,020,003,百日紅,ひゃくじつこう,lklp,14,14 - 14,8,-11,中中,,,,,,,,,,
00175,21,020,003,圧勁,あっけい,wp,16,16 - 16,崩,-9,中,,,,,,,,,,
00176,22,020,003,流雲墜,りゅううんつい,wk,23,23 - 24,D,-6,中,,,,,,wkcrxnで直接しゃがみへ,空中ヒット時FB,,,
00177,23,020,003,白鷺遊舞,はくろゆうぶ,ukrprk,14,14 - 14,4,-9,特殊下段 上上中,,,,,,,,,,
00178,24,020,003,白鷺下段脚,はくろげだんきゃく,ukrpcrrk,14,14 - 14,D,-23,特殊下段 上上下,,,,,,,,,,
00179,25,020,003,白鷺鬼首,はくろきしゅ,uklk,14,14 - 14,D,-2,特殊下段 上中,6,,,,,uklkahでキャンセル,ガード時削りダメージあり,最終段ホールドでパワーアップ,,
00180,26,020,003,翠連衝腿,すいれんしょうたい,folplk,20,20 - 20,6,-5,中中,,,,,,,,,,
00181,27,020,003,翠連澄まし,すいれんすまし,folprk,20,20 - 20,D,-26,中下,1,,,,,folprkzbでキャンセルしてしゃがみへ,,,,
00182,28,020,003,鬼殺し,おにごろし,forp,17,17 - 18,浮,-18,中,,,,,,forpcrでキャンセルしてしゃがみへ,,,,
00183,29,020,003,鬼殺し～浪花の気焔,おにごろし～なにわのきえん,forpヒット時lp,17,17 - 18,浮,-18,中,,,,,,浪花の気焔を獲得,,,,
00184,30,020,003,鬼首落とし,おにくびおとし,folk,31,31 - 33,D,-2,中,6,,,,,folkahでキャンセル,ガード時削りダメージあり,,,
00185,31,020,003,鬼首落とし,おにくびおとし,folkホールド,70,70 - 71,D,,ガード不能,6,,,,,folkホールドahでキャンセル,,,,
